job,firm,functional_area,type
Managing Consultant - Financial Modelling & Business Case,Capgemini Invent,Unknown,Job
Senior Full Stack Engineer,PA Consulting,Unknown,Job
Senior Delivery Manager,PA Consulting,Unknown,Job
Managing Consultant - Intelligent Process & Performance - Automation,Capgemini Invent,"Lean, &, SixSigma, Performance, Management",Job
Senior Full Stack Engineer,PA Consulting,Unknown,Job
Senior Consultant - Agile Transformation - Digital Acceleration,Capgemini Invent,Digital,Job
User Researcher - Consultant - Digital Factory,Capgemini Invent,Digital,Job
Lead Data Engineer,PA Consulting,"Data, Science",Job
Sourcing Req- Senior Consultant - Agile Transformation - Digital Acceleration,Capgemini Invent,"Digital, Procurement, Supply, Chain",Job
Data Engineer,PA Consulting,"Data, Science",Job
Senior Consultant - Analytics & Artificial Intelligence - Data & AI Architect,Capgemini Invent,"Data, Science",Job
Full Stack Engineer,PA Consulting,Unknown,Job
Full Stack Engineer,PA Consulting,Unknown,Job
Senior Manager- Programme and Change Transformation,Capgemini Invent,"Change, Management",Job
Senior Management Consultant - Microsoft Cloud Technology Leader,Capgemini Invent,"Management, IT, Strategy, Cloud, Software",Job
HR Administrator - 12 month contract,PA Consulting,"Human, Resources",Job
Senior Consultant - Cloud DevOps,Capgemini Invent,"Cloud, Software",Job
Management Consultant - Cloud Strategy,Capgemini Invent,"Strategy, Management, Cloud",Job
Managing Consultant - Digital Solution Architect,Capgemini Invent,Digital,Job
Service Designer - Senior Consultant - Digital Factory,Capgemini Invent,Digital,Job
Senior Manager - DevOps Architect,Capgemini Invent,Software,Job
Content Designer - Consultant - Digital Factory,Capgemini Invent,Digital,Job
User Experience Designer - Consultant - Digital Factory,Capgemini Invent,Digital,Job
Senior Manager - DevOps Architect,Capgemini Invent,Software,Job
Management Consultant - SAP Finance Transformation,Capgemini Invent,"Management, Finance, ERP",Job
Senior Manager - Corporate & Investment Banking (CIB),Capgemini Invent,Unknown,Job
Senior Manager - Enterprise Architect - Telecom,Capgemini Invent,Unknown,Job
Insurance Director,Capgemini Invent,Unknown,Job
Vice President - Retail,Capgemini Invent,Unknown,Job
Consultant - Enterprise Model and Strategy,Capgemini Invent,Strategy,Job
Senior Managing Consultant - Cloud Strategy and Transformation,Capgemini Invent,"Strategy, Cloud",Job
Management Consultant - SAP S/4HANA Supply Chain Transformation,Capgemini Invent,"Management, Supply, Chain, ERP",Job
Management Consultant - Retail - Store Operations and Transformation,Capgemini Invent,Management,Job
Cloud Economics and FinOps Senior Managing Consultant,Capgemini Invent,Cloud,Job
Managing Consultant/Senior Manager - Cloud DevOps Architect,Capgemini Invent,"Cloud, Software",Job
Managing Consultant - Technical Project Manager - Digital Acceleration,Capgemini Invent,Digital,Job
Management Consultant/Senior Manager - Consumer Products Commercial Transformation,Capgemini Invent,Management,Job
Senior Manager - Insurance Consulting,Capgemini Invent,Unknown,Job
Senior Consultant - Digital Business Architect,Capgemini Invent,Digital,Job
